,Timestamp,Rate,Time
353,57:45.4,255,324.9181728
354,58:22.7,255,324.9285408
355,59:01.9,255,324.9394368
356,59:43.1,255,324.9508848
357,00:26.4,255,324.9629088
358,01:11.9,255,324.9755328
359,01:59.6,255,324.9887808
360,02:49.7,255,325.0027008
361,03:42.3,255,325.0173168
362,04:37.5,255,325.0326528
363,05:35.5,255,325.0487568
364,06:36.3,255,325.0656528
365,07:40.2,255,325.0834128
366,08:47.4,255,325.1020608
367,09:57.8,255,325.1216208
368,11:11.8,255,325.1421648
369,12:29.4,255,325.1637408
370,13:51.0,255,325.1863968
371,15:16.6,255,325.2101808
372,16:46.6,255,325.2351648
373,18:21.0,255,325.2613968
374,20:00.1,255,325.2889248
375,21:44.2,255,325.3178448
376,23:33.5,255,325.3482048
377,25:28.2,255,325.3800768
378,27:28.8,255,325.4135568
379,29:35.3,255,325.4486928
380,31:48.1,255,325.4856048
381,34:07.7,255,325.5243648
382,36:34.1,255,325.5650448
383,39:07.9,255,325.6077648
384,41:49.4,255,325.6526208
385,44:39.0,255,325.6997328
386,47:37.1,255,325.7491968
387,50:44.0,255,325.8011328
388,54:00.3,255,325.8556608
389,57:26.5,255,325.9129248
390,01:02.9,255,325.9730448
391,04:50.2,255,326.0361648
392,08:48.8,255,326.1024528
393,12:59.3,255,326.1720528
394,17:22.4,255,326.2451328
395,21:58.7,255,326.3218608
396,26:48.7,255,326.4024288
397,31:53.2,255,326.4870048
398,37:12.9,255,326.5758288
399,42:48.7,255,326.6690928
400,48:41.2,255,326.7670128
401,54:51.3,255,326.8698288
402,01:20.0,255,326.9777808
403,08:08.0,255,327.0911328
404,15:16.5,255,327.2101488
405,22:46.4,255,327.3351168
406,30:38.8,255,327.4663488
407,38:54.8,255,327.6041328
408,47:35.7,255,327.7488048
409,56:42.5,255,327.9007008
410,06:16.7,255,328.0602048
411,16:19.6,255,328.2276768
412,26:52.6,255,328.4035248
413,37:57.4,255,328.5881808
414,49:35.3,255,328.7820528
415,01:48.2,255,328.9856208
416,14:37.7,255,329.1993648
417,28:05.7,255,329.4238128
418,42:14.0,255,329.6594688
419,57:04.8,300,329.9069088
420,12:40.2,300,330.1667328
421,29:02.3,300,330.4395408
422,46:13.5,300,330.7259808
423,04:16.3,300,331.0267488
424,23:13.2,300,331.3425648
425,43:06.9,300,331.6741488
426,04:00.3,300,332.0223168
427,25:56.4,300,332.3879088
428,48:58.3,300,332.7717648
429,13:09.3,300,333.1748208
430,38:32.9,300,333.5980368
431,05:12.6,300,334.0423968
432,33:12.3,300,334.5089808
433,02:36.0,300,334.9988928
434,33:27.9,300,335.5133088
435,05:52.4,300,336.0534528
436,39:54.1,300,336.6205968
437,15:37.9,300,337.2160848
438,53:08.8,300,337.8413568
439,32:32.4,300,338.4979008
440,13:54.1,300,339.1872528
441,57:19.9,300,339.9110928
442,42:56.0,300,340.6711248
443,30:48.9,300,341.4691488
444,21:05.4,300,342.3070608
445,13:52.7,300,343.1868768
446,09:18.4,300,344.1106848
447,07:30.5,300,345.0806928
448,08:37.1,300,346.0992048
449,12:47.0,300,347.1686208
450,20:09.4,300,348.2915088
451,30:54.0,300,349.4705568
452,45:10.7,300,350.7085488
453,03:10.3,300,352.0084368
454,25:03.9,300,353.3733168
455,51:03.2,300,354.8064528
456,21:20.5,300,356.3112528
457,56:08.6,300,357.8912928
458,35:41.1,300,359.5503168
459,20:12.3,300,361.2923088
460,09:57.0,300,363.1213968
461,05:10.9,300,365.0419248
462,06:10.5,300,367.0584768
463,13:13.1,300,369.1758768
464,26:36.9,300,371.3991408
465,46:40.8,300,373.7335728
466,10:40.8,300,376.1335728
